                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                0.77001,                 1.1278,                 1.2826,                0.83126,                0.72726,                0.83007,                0.59565,                0.93076,                 1.1233,                  1.477,             0.00070502,             0.00070502,             0.00070502
                     36,                0.76846,                 1.1049,                 1.2579,                0.83671,                0.73213,                0.83449,                0.62109,                 0.8998,                 1.0391,                 1.4174,             0.00069902,             0.00069902,             0.00069902
                     37,                0.75442,                 1.0888,                 1.2648,                0.85824,                0.79869,                0.85981,                0.64681,                0.89927,                0.95354,                 1.4491,             0.00069302,             0.00069302,             0.00069302
                     38,                0.77302,                 1.1098,                 1.2752,                0.82374,                0.75338,                0.85159,                0.64083,                 0.9184,                0.98167,                 1.4771,             0.00068702,             0.00068702,             0.00068702
                     39,                0.75781,                 1.0601,                 1.2671,                0.78668,                0.77678,                0.84301,                0.62746,                0.91999,                 0.9278,                 1.4718,             0.00068102,             0.00068102,             0.00068102
                     40,                0.79189,                 1.1032,                 1.2944,                0.85805,                0.66885,                0.80284,                0.61216,                0.90207,                 1.1675,                 1.4643,             0.00067502,             0.00067502,             0.00067502
                     41,                0.73593,                0.98278,                 1.2533,                0.81168,                0.80317,                0.84245,                0.65953,                0.82297,                0.96616,                  1.389,             0.00066902,             0.00066902,             0.00066902
                     42,                0.75162,                 1.0471,                 1.2646,                0.79777,                0.73852,                0.82033,                0.61862,                0.89003,                 1.0105,                 1.4419,             0.00066302,             0.00066302,             0.00066302
                     43,                0.73108,                 1.0776,                 1.2657,                0.78623,                 0.7617,                 0.8237,                0.62195,                0.89085,                 1.0808,                 1.4428,             0.00065703,             0.00065703,             0.00065703
                     44,                0.72238,                0.98652,                 1.2384,                0.80189,                0.75809,                0.83304,                 0.6349,                0.87161,                0.99575,                 1.4284,             0.00065103,             0.00065103,             0.00065103
                     45,                0.75739,                 1.0145,                 1.2687,                0.82977,                0.80306,                0.84918,                0.64644,                 0.8984,                0.94899,                 1.4318,             0.00064503,             0.00064503,             0.00064503
                     46,                0.69922,                0.98542,                 1.2402,                0.86197,                0.76242,                0.87236,                0.66041,                0.86563,                0.92519,                 1.4075,             0.00063903,             0.00063903,             0.00063903
                     47,                0.70964,                0.95018,                 1.2248,                0.83667,                0.76065,                0.84982,                0.65127,                0.87154,                0.91515,                 1.4094,             0.00063303,             0.00063303,             0.00063303
                     48,                  0.729,                0.97168,                 1.2379,                0.82108,                0.75249,                0.84514,                0.62091,                0.93001,                 1.0229,                   1.46,             0.00062703,             0.00062703,             0.00062703
                     49,                0.72371,                0.95985,                 1.2469,                 0.7265,                0.78933,                0.83803,                0.64155,                0.86173,                0.98666,                  1.407,             0.00062103,             0.00062103,             0.00062103
                     50,                0.69947,                0.94029,                 1.2314,                0.80793,                0.79588,                0.84458,                   0.64,                0.87887,                0.93065,                  1.421,             0.00061503,             0.00061503,             0.00061503
                     51,                0.69562,                0.94913,                 1.2197,                0.83385,                0.73606,                0.84877,                0.64709,                0.88168,                0.97385,                 1.3635,             0.00060903,             0.00060903,             0.00060903
                     52,                0.69343,                0.90223,                 1.2186,                0.85839,                0.75927,                0.84772,                0.65232,                0.86833,                0.93007,                 1.4131,             0.00060303,             0.00060303,             0.00060303
                     53,                0.69155,                0.89215,                 1.2272,                0.84427,                0.79607,                0.86468,                0.64889,                0.84325,                0.87488,                 1.4018,             0.00059703,             0.00059703,             0.00059703
                     54,                0.69253,                0.90356,                  1.218,                0.83761,                0.74209,                0.85549,                0.63877,                0.85076,                0.89929,                 1.3817,             0.00059103,             0.00059103,             0.00059103
                     55,                0.69445,                0.89327,                  1.214,                0.83043,                0.79569,                0.87006,                 0.6601,                0.83835,                0.84743,                 1.3833,             0.00058503,             0.00058503,             0.00058503
                     56,                0.68833,                0.88854,                  1.214,                0.89496,                0.77771,                 0.8677,                0.65482,                0.89854,                0.86721,                 1.4153,             0.00057903,             0.00057903,             0.00057903
                     57,                0.69842,                0.90891,                 1.2247,                0.80271,                 0.7775,                0.86213,                0.63929,                0.88684,                0.93962,                 1.4294,             0.00057303,             0.00057303,             0.00057303
                     58,                0.67485,                0.86047,                 1.2163,                0.82471,                 0.8368,                 0.8637,                0.65756,                0.84013,                 0.8572,                 1.3597,             0.00056703,             0.00056703,             0.00056703
                     59,                0.67693,                0.87649,                 1.2059,                0.85441,                0.76459,                0.84281,                0.64502,                0.82818,                0.90141,                 1.3676,             0.00056103,             0.00056103,             0.00056103
                     60,                0.64691,                 0.8432,                 1.1823,                0.87824,                0.80647,                0.87473,                0.66014,                0.86693,                 0.8783,                 1.4224,             0.00055504,             0.00055504,             0.00055504
                     61,                0.66562,                0.81725,                 1.1886,                0.82047,                0.84224,                0.87728,                 0.6639,                0.85561,                0.85532,                 1.4028,             0.00054904,             0.00054904,             0.00054904
                     62,                0.66072,                0.86786,                 1.2093,                0.80775,                0.74196,                  0.826,                0.62222,                0.86363,                 1.0181,                 1.4413,             0.00054304,             0.00054304,             0.00054304
                     63,                0.67244,                0.86061,                 1.2141,                0.85057,                0.77565,                0.85909,                0.65799,                0.80646,                0.93998,                  1.369,             0.00053704,             0.00053704,             0.00053704
                     64,                0.64577,                0.81902,                  1.179,                0.75215,                0.81184,                0.82811,                0.63037,                0.86342,                0.96571,                 1.3791,             0.00053104,             0.00053104,             0.00053104
                     65,                0.66408,                0.82804,                 1.1953,                0.87998,                0.80074,                0.86686,                0.67668,                0.82027,                0.82284,                 1.3789,             0.00052504,             0.00052504,             0.00052504
                     66,                0.65939,                0.82489,                 1.1878,                0.88855,                0.76243,                0.85614,                0.64542,                 0.9166,                 0.9159,                 1.4512,             0.00051904,             0.00051904,             0.00051904
                     67,                0.64504,                0.77355,                 1.1922,                0.85663,                0.83953,                0.88802,                0.69402,                0.75867,                 0.7865,                 1.3091,             0.00051304,             0.00051304,             0.00051304
                     68,                0.68072,                0.83524,                 1.2126,                0.87546,                0.84615,                0.89657,                0.68142,                0.83622,                0.79043,                 1.3828,             0.00050704,             0.00050704,             0.00050704
                     69,                0.61124,                0.77132,                 1.1482,                0.87252,                0.78747,                0.86101,                0.66718,                0.85605,                0.83794,                 1.3988,             0.00050104,             0.00050104,             0.00050104
